Rank,Institution,Program Scope,Program Name,Tiers,Tier Names,Fees Public,Fee Notes,Partners Public,Top Partners,Sectors Represented,Benefits,No Of Public Partners
1,MIT,Department,EECS Alliance + 6-A,No,,No,Not posted,Yes,"Google,AMD,Analog Devices, Cadence, IBM, MIT-LL,NVIDIA,NASA","Semiconductor, Aerospace,Security,Industrial,HealthCare,Finance,Software,AI","Recruiting, Co-op, Branding,Research",29
2,Stanford,School,Industrial Affiliate Programs,Yes,,Yes,"Fee-based, no amounts",Yes,"Google,Amazon,Blue Origin,Lockheed Martin","AI, Photonics, Networking, Software,Aerospace,Finance,Automative,Cloud,Sustainability","Research, Recruiting, Symposia,Internships",57
3,UC Berkeley,Department,EECS Corporate Access Program (CAP),No,,No,Not posted,Yes,"Apple, Google, Intel, Nvidia, GM, Jane Street","Big Tech, Semiconductor, Auto, Fintech","Recruiting, Branding, Events",0
4,Georgia Tech ,Department,ECE Industry Partner Programs,No,,No,Not posted,No,Not posted,"Semiconductor, Comms, Aerospace","Recruiting, Research, Engagement",0
5,UIUC,Department,CS–ECE Corporate Connection,No,,No,Not posted,Yes,"Texas Instruments,Sandia National Laboratories,Magna,Visa,Caterpillar","Semiconductor,Aerospace,finance,Industrial,Automative","Recruiting, Branding, Research",10
6,U. Michigan,College+Dept,ECRC Corporate Partner Program,Yes,"Platinum,Executive",Yes,"Platinum =10000 , Executive = 5000",Yes,"Apple, Ford, Lockheed Martin,Tesla,BD","Semiconductor,Automative,HealthCare","Recruiting, Branding, Capstone",13
7,Caltech,School+Dept,CMS-EE Partners Program,No,,No,Variable,Yes,"Cadence,Meta,Samsung,Applied Intuition","Aerospace, Computing, Semiconductor,AI,Software,Finance,HealthCare","Recruiting, Research, Exec. Ed.",24
8,Carnegie Mellon,Department,ECE Corporate Partnerships,Yes,"Capstone, Curriculum, PhD",Yes,"Curiculum=25000,PhD=25000,Capstone = 5,000",No,Not posted,"Robotics, AI, Embedded, Networking","Recruiting, Capstone, Research",0
9,Purdue,Department,ECE Corporate Partners Program,Yes,"Gold, Black, Bronze",Yes,"Gold=25000,Black=15000,Bronze=5000",Yes,"Intel,AMD,Cadence,Lockheed Martin,Boeing,NSA,Caterpillar","Semiconductor, Aerospace, Software,Industrial,Automative,Security,HealthCare,Satelite,Design,AI","Recruiting, Branding, Capstone,Classroom visits,Promotion,Consulting",42
10,UT Austin,Department,Texas ECE – Industry Engagement,No,,No,Not posted,Yes,"AMD,Texas Instruments,Apple,Boeing,Qualcomm,Lockheed Martin","Semiconductors,Aerospace,Industrial,AI","Recruiting, Research, Capstone",11
11,UCLA,College+Dept,Samueli Industry Partnerships,No,,No,Not posted,Yes,"Boeing, Raytheon, Northrop, Apple","Aerospace, Comms, Big Tech","Research, Recruiting, Advisory Board",0
12,UC San Diego,School,Jacobs School (CAP),No,,No,Not posted,Yes,"Amazon,AMD,Apple,Meta,Visa,TeraData,Qualcomm","Aerospace, Semiconductor, Satellite, Industrial, Automative, Healthcare, Finance, Engineering, Cloud","Recruiting, Research, Exec. Board",71
13,Texas A&M,Department,ECE Industrial Affiliates (IAP),Yes,"Diamond, Platinum, Gold, Silver, Bronze",Yes,"Gold = 25000, Silver = 15000",Yes,"Samsung, Marvell, Raytheon, Arm","Semiconductor, Power, Defense","Recruiting, Capstone, Research",0
14,U. Maryland,Department,ECE Corporate Affiliates,No,,No,Not posted,Yes,"AGI,Cadence,Texas Instruments,Hughes,Lockheed Martin","Aerospace,Semiconductor,Satelite,Industrial,Automative","Recruiting, Research, Internships",12
15,U. Washington,Dept+School,ECE Industry Mentorship,Yes,,No,Not posted,No,Not posted,"Software, Cloud, AI, Comms","Recruiting, Marketing",0
16,USC,School,Viterbi Career Connections,No,"Platinum,Gold,Cardinal",Yes,"Platinum =10000,Gold = 7000,Cardinal = 4000",Yes,"abbott,Lockheed Martin,Visa,Qualcomm,Bloomberg","HealthCare,Aerospace,Finance,Semiconductor","Recruiting, Marketing",5
17,Cornell,School+Dept,Engineering Corporate Engagement,No,,No,Not posted,Yes,"ASML,Boeing,Bae,Lockheed Martin",Systems Engineering,M.Eng.Project,9
18,Princeton,School,Corporate Partners (NextG),Yes,"Affiliate , Leadership",No,Not posted,Yes,"Qualcomm,Texas Instruments,Samsung,Verizon","Telecom, Networking, Semiconductor","Research, Recruiting, Facility Access",11
19,Columbia,School,Engineering Strategic Partnerships,No,,No,Not posted,No,Not posted,"AI, Fintech, Media, Health Tech","Research, Recruiting, Custom",0
20,Harvard,School,SEAS Office of Industry Partnerships,No,,No,Not posted,No,Not posted,"AI,Energy,Semiconductor","Research, Recruiting",0
